x,y
4.248576954263585321e+02,9.481552409456971873e+02
4.209962757568105758e+02,9.540892011051929558e+02
4.198457148496519267e+02,9.611460355930507831e+02
4.145137869081279405e+02,9.664708928971248270e+02
4.092211503857779462e+02,9.718120185993232099e+02
4.052887964900637030e+02,9.777167127934603741e+02
4.049993041996061152e+02,9.851285740038930498e+02
4.011201795021913767e+02,9.898906940904925023e+02
3.969395432404401731e+02,9.945158870870311603e+02
3.955119859650761214e+02,1.001457416851397170e+03
3.902381930915979638e+02,1.006806353357880994e+03
3.890064936872949488e+02,1.013829579326725138e+03
3.879904926837220955e+02,1.020942150487804838e+03
3.860633856551986582e+02,1.027677329176727199e+03
3.837763591365971365e+02,1.034263424331495344e+03
3.805421290904016018e+02,1.040457174938808294e+03
3.751112411453904656e+02,1.045741040052537983e+03
3.719411596671982920e+02,1.051961361866724474e+03
3.688040170841078975e+02,1.058195327417991848e+03
3.648904690567433704e+02,1.064107695304342315e+03
3.595682581413469165e+02,1.069436575917654864e+03
3.542435421722288993e+02,1.074764418903743945e+03
3.496211287664785914e+02,1.080383165136468278e+03
3.480857078748878166e+02,1.087280585535501814e+03
3.459563334383441884e+02,1.093931982320795669e+03
3.442276901750187221e+02,1.100749367392903423e+03
3.430405948777291201e+02,1.107791068977217265e+03
3.409407794416778756e+02,1.114454709501405432e+03
3.395585079062644240e+02,1.121415566440836301e+03
3.342636871010457185e+02,1.126755792409262313e+03
3.310872812730070791e+02,1.132973494591968347e+03
3.280162064055238602e+02,1.139234826287074611e+03
3.253486848882575373e+02,1.145663315253619885e+03
3.249890265009765358e+02,1.153047752428004060e+03
3.246688598955350926e+02,1.160448547709110926e+03
3.192528618961553093e+02,1.165738580134928725e+03
3.170028859304533739e+02,1.172340119344762343e+03
3.169997932278661779e+02,1.179872222070460111e+03
3.170003976483444603e+02,1.187405463976576812e+03
3.170004689541272000e+02,1.194938886665474456e+03
3.170001996326084281e+02,1.202472420905438184e+03
3.169997821711813799e+02,1.210005997464751772e+03
3.169994090572403138e+02,1.217539547111700358e+03
3.169992727781788062e+02,1.225073000614568173e+03
3.169995474532336175e+02,1.232606295688994578e+03
3.170001444226205649e+02,1.240139469441072151e+03
3.170007787361239480e+02,1.247672633219475983e+03
3.170011607288423647e+02,1.255205900156112648e+03
3.170010007358740154e+02,1.262739383382885762e+03
3.170000090923172138e+02,1.270273196031700081e+03
3.169978961332702170e+02,1.277807451234461496e+03
3.169965209538549402e+02,1.285341404401308182e+03
3.170066056310579938e+02,1.292870773722261220e+03
3.169898340516975281e+02,1.300410928172359945e+03
3.182425902692490354e+02,1.307497554184264573e+03
3.239957348738423093e+02,1.306593451514203480e+03
3.250022550261574565e+02,1.299479183771925818e+03
3.249944992506318613e+02,1.291942333788077121e+03
3.249989627007497575e+02,1.284410915116267233e+03
3.250012746303359563e+02,1.276878535471829082e+03
3.250019583707635888e+02,1.269345428543891558e+03
3.250015372534060702e+02,1.261811828021583779e+03
3.250005346096366452e+02,1.254277967594035317e+03
3.249994737708286152e+02,1.246744080950375974e+03
3.249988713858519986e+02,1.239210398797991274e+03
3.249989320642139887e+02,1.231677012611792861e+03
3.249994219409761627e+02,1.224143818218679598e+03
3.250000742608195878e+02,1.216610696769807646e+03
3.250006222684254453e+02,1.209077529416334983e+03
3.250007992084748594e+02,1.201544197309416631e+03
3.250003383256491816e+02,1.194010581600211481e+03
3.249992733759057728e+02,1.186476695296855269e+03
3.250004062297369956e+02,1.178943765988441783e+03
3.250026255081759246e+02,1.171411279891334516e+03
3.293325880012840230e+02,1.165671393971649422e+03
3.330084414690568337e+02,1.159660569779834304e+03
3.329839397739311266e+02,1.152117008289127398e+03
3.333690098115960723e+02,1.144743096964912183e+03
3.364948945183035676e+02,1.138504468248563398e+03
3.396740428620493049e+02,1.132287902053056314e+03
3.443045230062251676e+02,1.126672497172791964e+03
3.489242221921979308e+02,1.121052626673425038e+03
3.490144490509255775e+02,1.113556587305719177e+03
3.503743735416390450e+02,1.106586473917294825e+03
3.519413792731379544e+02,1.099702136387316614e+03
3.540779830909560246e+02,1.093053734109794050e+03
3.557977409948807122e+02,1.086232668601315936e+03
3.589797082979380889e+02,1.080017270056989901e+03
3.643109185545160358e+02,1.074692117092844683e+03
3.696489513780933294e+02,1.069369790128480872e+03
3.739974877100447088e+02,1.063637600297366134e+03
3.770056120833686464e+02,1.057350193653820497e+03
3.800589882201595628e+02,1.051081530904423744e+03
3.852515041021248976e+02,1.045698928849290041e+03
3.891590342498483324e+02,1.039784068275578420e+03
3.917243080928008112e+02,1.033313226936247474e+03
3.940564199505723764e+02,1.026745806740432045e+03
3.960413206714516150e+02,1.020034566975089888e+03
3.970352314339497752e+02,1.012912845187730113e+03
4.002804076530337625e+02,1.006723625390082475e+03
4.048771066005786565e+02,1.001094502854433927e+03
4.089624443620453462e+02,9.969667017957586950e+02
4.130099076315853495e+02,9.917384054361929202e+02
4.129994529860984471e+02,9.842015848490985945e+02
4.139078509300114774e+02,9.770443839929855585e+02
4.192563825685063534e+02,9.717264057682569955e+02
4.245330307712640092e+02,9.663786524621535818e+02
4.290245801101584675e+02,9.607057005627812032e+02
4.295228752034976765e+02,9.533786885903243729e+02
4.349503683728604528e+02,9.480934173120976993e+02
4.369996071470149559e+02,9.414088270549641493e+02
4.399306347272978428e+02,9.350895196579172080e+02
4.444929479816559592e+02,9.294466445945047326e+02
4.450274578339401614e+02,9.221288036086127704e+02
4.480135056163260288e+02,9.170243295055615818e+02
4.539143768311453755e+02,9.130965179562369940e+02
4.592347295149388060e+02,9.077587149368337123e+02
4.645655695756256591e+02,9.024355952921289372e+02
4.698908303598034308e+02,8.971106634572348639e+02
4.752173810527355045e+02,8.917798840776168845e+02
4.805371788943962770e+02,8.864526532834941008e+02
4.850300540329473051e+02,8.807793180124929222e+02
4.849721469974523416e+02,8.732218995220194984e+02
4.880852325689495501e+02,8.669779689807047589e+02
4.912349571793808423e+02,8.607486885717618179e+02
4.958771016143831503e+02,8.551444169188893056e+02
5.011942420564271288e+02,8.497995803084644422e+02
5.064838559652055778e+02,8.443895819548680493e+02
5.127224583852033675e+02,8.412673858168814149e+02
5.189444931397240452e+02,8.381011174692390568e+02
5.241270527135056909e+02,8.338625934266505055e+02
5.250037023866561867e+02,8.266890694658480925e+02
5.249839414159455373e+02,8.191474453781074772e+02
5.295075393617152031e+02,8.134878176459102406e+02
5.348379779816173141e+02,8.081623428189933520e+02
5.401642105487061372e+02,8.028351288304450009e+02
5.454930117488358974e+02,7.975089774524624318e+02
5.508166138999467876e+02,7.921806735331144864e+02
5.559816468381080767e+02,7.867866846722540686e+02
5.570047820577825632e+02,7.796771424130599826e+02
5.584338677077188322e+02,7.729569537606050744e+02
5.659783192289021372e+02,7.730005225039210472e+02
5.719880290712417263e+02,7.703045425490754496e+02
5.754021911441241173e+02,7.649534742738476325e+02
5.807706808012015927e+02,7.612306376003655259e+02
5.847948142317499105e+02,7.570129161671436577e+02
5.897741202633438888e+02,7.522328876332696836e+02
5.929233243657685080e+02,7.460034468007667101e+02
5.959873504790492689e+02,7.397391956564352995e+02
5.990013226327581606e+02,7.334542106219796551e+02
6.020220198457534480e+02,7.271726883996464039e+02
6.067965024745103619e+02,7.222008972823161912e+02
6.130303213727219145e+02,7.190624861091881712e+02
6.192451980833063772e+02,7.158792592932067009e+02
6.245399363248203599e+02,7.104746213946925764e+02
6.298651706281149245e+02,7.051436075079191141e+02
6.356881791796677135e+02,7.010143269620643878e+02
6.428728402504411861e+02,7.001723663958429142e+02
6.481850752075780520e+02,6.948099693115477749e+02
6.535146198699778779e+02,6.894893615524600818e+02
6.588384218559995134e+02,6.841548897461747174e+02
6.641583103216266863e+02,6.788109698658777234e+02
6.709403658624222544e+02,6.769970335689050671e+02
6.784700442798952054e+02,6.769880185603519749e+02
6.848358784234321774e+02,6.741692349211731425e+02
6.902188375651151091e+02,6.689775811223955770e+02
6.975335325170518672e+02,6.684495501156551427e+02
7.040178007676033758e+02,6.659166917052880308e+02
7.102441719575880370e+02,6.627612124706497525e+02
7.170488775573151088e+02,6.610018278601232851e+02
7.245807551131495075e+02,6.609984284260782488e+02
7.321156672064449822e+02,6.610016853418354685e+02
7.396466929992960786e+02,6.609964648525179882e+02
7.467665548236674340e+02,6.599920315813008074e+02
7.492300968681316817e+02,6.535682943238481357e+02
7.565916936081240465e+02,6.529997846697195882e+02
7.641251152108326323e+02,6.529999010079507116e+02
7.716584964023190878e+02,6.529999353332665351e+02
7.791919114795496171e+02,6.530001146810020600e+02
7.867253628381191675e+02,6.529999702638689314e+02
7.942587691738849571e+02,6.529998956155734504e+02
8.017920671908949544e+02,6.530002394202949745e+02
8.093258227274226329e+02,6.529993852682631541e+02
8.166386490834850065e+02,6.535319455857837738e+02
8.219433157873290838e+02,6.589126113525090886e+02
8.278506394804545607e+02,6.628383369448420126e+02
8.340921544279131012e+02,6.659573818630730102e+02
8.399482850176270858e+02,6.699700532224107974e+02
8.429858814654061234e+02,6.762476321087605129e+02
8.460110153611350370e+02,6.825218125811593382e+02
8.522316434522687132e+02,6.850127611780548023e+02
8.597785949346435928e+02,6.849706242354139931e+02
8.622430474289736821e+02,6.913755078109770693e+02
8.676576872237917541e+02,6.966677399818955791e+02
8.733676163054103654e+02,7.010523120109464799e+02
8.780193135529790425e+02,7.050993194379200304e+02
8.828155428492809733e+02,7.089886796265042221e+02
8.896501212222070762e+02,7.106751822345127039e+02
8.949804473939036598e+02,7.159939074051695798e+02
9.021093079206182210e+02,7.170382050514268713e+02
9.050656281387578019e+02,7.233607224606075761e+02
9.069833809800791187e+02,7.300997644660260448e+02
9.089612376308672310e+02,7.368139220083442069e+02
9.134747584753359888e+02,7.424777730167296568e+02
9.188153052370984142e+02,7.477990586737992089e+02
9.241334086086246771e+02,7.531296406874905642e+02
